,name,conditional_probability,percentile,adjusted_p_value,should accept
186066,antidepressant|hypericum,0.025641025641025644,0.7179525399475316,0.03558848742562745,True
186073,antidepressant|hormone,0.016100178890876567,0.5773014548056284,0.02640943761061668,True
186074,antidepressant|methylecgonidine,0.041666666666666664,0.819669687574529,0.05039905764700227,False
186075,antidepressant|fluoxetine,0.06282722513089005,0.8834963033627474,0.07111204075416978,False
186076,antidepressant|pseudoephedrine,0.015723270440251572,0.575482947770093,0.02640943761061668,True
186080,antidepressant|amfebutamone,0.09090909090909091,0.9191509658955402,0.09785183370089033,False
186084,antidepressant|dalcipran,0.024390243902439025,0.7040901502504173,0.03426647434509192,True
186092,antidepressant|benzoxazolyl,0.125,0.9583830193179108,0.13007196922695125,False
186101,antidepressant|triterpene,0.04477611940298508,0.8411042213212497,0.05322360557242138,False
186103,antidepressant|LSD,0.013722730471498943,0.5359527784402576,0.025604364831235984,True
186105,antidepressant|tetrahydroisoquinalone,0.1,0.937067731934176,0.10600429781317154,False
186107,antidepressant|barbiturate,0.011764705882352941,0.5019079418077749,0.023356729055258468,True
186108,antidepressant|caffeine,0.008428657435279952,0.4479191509658955,0.018816111074739166,True
186113,antidepressant|iprocin,0.0091324200913242,0.459694729310756,0.01984825058593877,True
186122,antidepressant|phenelzine,0.03317535545023697,0.7678571428571429,0.04315450919850766,True
186125,antidepressant|insulin,0.006289308176100629,0.3963450989744813,0.015812363473176397,True
186128,antidepressant|meperidine,0.009478672985781991,0.468101597901264,0.020215704897957217,True
186130,antidepressant|vasopressin,0.027027027027027025,0.7289530169329835,0.03697367840924122,True
186133,antidepressant|piper methysticum,0.0101010101010101,0.47457071309325066,0.02119796564241009,True
186135,antidepressant|cocaine,0.012688342585249802,0.5132065347006917,0.02466173196761567,True
186136,antidepressant|inositol,0.010526315789473684,0.4845874075840687,0.021656939207685553,True
186140,antidepressant|selegiline,0.03361344537815126,0.772686620558073,0.0434970068576771,True
186149,antidepressant|chlorpromazine,0.025125628140703515,0.7139279751967565,0.035193505526630975,True
186152,antidepressant|mescaline,0.0070480928689883905,0.4201049367994276,0.0167769817767064,True
186155,antidepressant|oxytocin,0.008547008547008548,0.45125804912950157,0.018847019109969415,True
